我的快递到哪了	Express-Query
帮我查一下顺丰快递的物流信息	Express-Query
圆通快递单号YT123456789的进度	Express-Query
快递什么时候能送到我手上	Express-Query
查一下我的中通快递到哪一站了	Express-Query
韵达快递怎么还没派送	Express-Query
我的包裹到小区驿站了吗	Express-Query
查一下快递单号789456123的物流	Express-Query
顺丰速运的快递今天能到吗	Express-Query
中通快递的派送员电话是多少	Express-Query
我的极兔快递到哪里了	Express-Query
查一下邮政包裹的物流状态	Express-Query
快递已经揽收了什么时候发货	Express-Query
圆通快递的取件码是多少	Express-Query
我的申通快递到本市了吗	Express-Query
帮我查一下快递的最新位置	Express-Query
顺丰快递的预计送达时间	Express-Query
我的快递被签收了吗	Express-Query
查一下韵达快递单号YD987654321的信息	Express-Query
中通快递什么时候开始派送	Express-Query
我的包裹在快递站放多久了	Express-Query
极兔快递的物流更新了吗	Express-Query
帮我查一下取件码	Express-Query
邮政快递的派送时间	Express-Query
顺丰快递的物流轨迹	Express-Query
我的圆通快递怎么滞留了	Express-Query
查一下申通快递单号ST123456的进度	Express-Query
韵达快递到家门口了吗	Express-Query
我的中通快递取件点在哪里	Express-Query
顺丰快递的客服电话是多少	Express-Query
查一下我的快递什么时候到	Express-Query
极兔快递的包裹已经到了吗	Express-Query
邮政快递的包裹需要自提吗	Express-Query
圆通快递的派送范围包括我家吗	Express-Query
查一下韵达快递的物流进度	Express-Query
我的申通快递什么时候能取	Express-Query
顺丰快递的包裹被代收了吗	Express-Query
帮我查一下最新的快递物流	Express-Query
我的手机话费还剩多少	Bill-Query
查一下我的移动话费余额	Bill-Query
联通手机号的话费还有多少	Bill-Query
电信宽带的费用该交了吗	Bill-Query
查一下这个月的电费账单	Bill-Query
我的水费还有多少余额	Bill-Query
帮我查一下燃气费欠了多少钱	Bill-Query
移动话费什么时候扣月租	Bill-Query
查一下我的联通话费明细	Bill-Query
电信手机号的剩余流量	Bill-Query
这个月的电费用了多少度	Bill-Query
水费的缴费截止日期是什么时候	Bill-Query
燃气费的账单金额是多少	Bill-Query
帮我查一下宽带的到期时间	Bill-Query
移动话费充值后到账了吗	Bill-Query
联通的套餐费用是多少一个月	Bill-Query
查一下我的电费余额	Bill-Query
水费欠费了吗	Bill-Query
燃气费什么时候交	Bill-Query
电信话费的剩余金额	Bill-Query
查一下这个月的手机话费账单	Bill-Query
移动的定向流量还剩多少	Bill-Query
联通宽带的费用是多少	Bill-Query
电信的话费明细怎么查	Bill-Query
这个月的燃气费用了多少	Bill-Query
电费的缴费记录	Bill-Query
帮我查一下水费的使用情况	Bill-Query
燃气费的欠费金额	Bill-Query
移动话费的可用余额	Bill-Query
联通手机号的账单详情	Bill-Query
电信宽带的缴费方式	Bill-Query
帮我设置一个早上7点的闹钟	Clock-Set
明天早上8点叫我起床	Clock-Set
设置一个下午3点的提醒	Clock-Set
后天早上6点半的闹钟	Clock-Set
帮我定一个晚上9点的提醒事项	Clock-Set
设置一个明天下午2点的闹钟	Clock-Set
早上8点半叫我上班	Clock-Set
定一个晚上10点的睡觉提醒	Clock-Set
帮我设置一个后天早上7点的闹钟	Clock-Set
下午4点提醒我接孩子	Clock-Set
设置一个明天早上9点的会议提醒	Clock-Set
晚上8点提醒我吃饭	Clock-Set
帮我定一个早上6点的闹钟	Clock-Set
下午1点提醒我取快递	Clock-Set
设置一个后天晚上7点的提醒	Clock-Set
早上7点半叫我起床	Clock-Set
定一个下午5点的下班提醒	Clock-Set
帮我设置一个晚上8点的电影提醒	Clock-Set
明天早上10点提醒我开会	Clock-Set
下午2点半提醒我上课	Clock-Set
设置一个晚上9点半的睡觉闹钟	Clock-Set
帮我定一个后天下午3点的提醒	Clock-Set
早上9点提醒我去买菜	Clock-Set
下午6点提醒我做晚饭	Clock-Set
设置一个明天晚上6点半的闹钟	Clock-Set
帮我设置一个早上8点的学习提醒	Clock-Set
下午4点半提醒我去取快递	Clock-Set
定一个晚上7点的健身提醒	Clock-Set
帮我把苹果翻译成英文	Translation
翻译一下这句话到日语	Translation
帮我把中文转换成韩语	Translation
这句话的英文怎么说	Translation
把这个句子翻译成法语	Translation
帮我翻译一下这段文字到德语	Translation
苹果的日语翻译是什么	Translation
把我爱你翻译成西班牙语	Translation
帮我把英语翻译成中文	Translation
这句话的韩语怎么写	Translation
把明天见翻译成日语	Translation
帮我翻译一下这个单词到俄语	Translation
开心的英文翻译	Translation
把谢谢翻译成法语	Translation
帮我把这段文字转换成英语	Translation
这句话的葡萄牙语怎么说	Translation
把早上好翻译成韩语	Translation
帮我翻译一下到意大利语	Translation
苹果的英语怎么说	Translation
把我喜欢你翻译成日语	Translation
帮我把英语句子翻译成中文	Translation
这句话的德语翻译是什么	Translation
把再见翻译成西班牙语	Translation
帮我把中文翻译成葡萄牙语	Translation
开心的韩语翻译	Translation
把谢谢翻译成日语	Translation
帮我计算一下100加200等于多少	Calculator
500减去120的结果是多少	Calculator
帮我算一下80乘以25等于多少	Calculator
1000除以50的结果	Calculator
25加36减18等于多少	Calculator
帮我算一下15乘以16的积	Calculator
900除以30的商是多少	Calculator
58加67加89等于多少	Calculator
120减去45再减去30	Calculator
帮我算一下20的平方是多少	Calculator
3的立方是多少	Calculator
100乘以0.8等于多少	Calculator
500除以2.5的结果	Calculator
帮我算一下88加99的和	Calculator
72减去36的差	Calculator
15乘以20乘以4等于多少	Calculator
600除以12除以5	Calculator
帮我算一下35加48减29	Calculator
96除以8的结果是多少	Calculator
45乘以12的积	Calculator
1000减去230等于多少	Calculator
帮我算一下5.5加4.5的和	Calculator
8.8乘以10的结果	Calculator
200除以40的商	Calculator
帮我算一下12加34加56	Calculator
67减去28再加上19	Calculator
18乘以5的积是多少	Calculator
700除以35的结果	Calculator
帮我算一下90加80减70	Calculator
25乘以4乘以8等于多少	Calculator
今天天气不错	Other
早上好呀	Other
你吃饭了吗	Other
今天星期几	Other
帮我讲个笑话	Other
世界上最高的山是什么	Other
天空为什么是蓝色的	Other
一年有多少天	Other
猫和狗哪个更可爱	Other
春天来了	Other
今天真开心	Other
帮我唱首歌	Other
月亮绕着地球转吗	Other
水的沸点是多少度	Other
苹果是什么颜色的	Other
我喜欢吃西瓜	Other
今天有点冷	Other
电脑怎么开机	Other
手机没电了	Other
明天要去逛街	Other
这本书很好看	Other
小鸟会飞	Other
鱼生活在水里	Other
树叶是绿色的	Other
我想去旅游	Other
今天加班	Other
咖啡很好喝	Other
茶的种类有哪些	Other
自行车怎么骑	Other
钢笔怎么用	Other
今天是几号	Other
帮我找首歌	Other
夏天很热	Other
冬天会下雪	Other
米饭是主食	Other
面条很好吃	Other
我喜欢看电影	Other
听首音乐吧	Other
这个杯子很漂亮	Other
帮我设置早上7点的闹钟再查快递	Other
翻译一下苹果再算100加200	Other
查话费再设置一个下午的提醒	Other
